0,2.88,2.84,2.72,-1.173,0
1,0.18,2.91,2.63,-0.145,0
2,5.80,2.67,2.74,1.514,0
3,4.98,2.68,2.70,-1.835,0
4,0.83,2.86,2.84,3.010,0
5,2.46,2.63,2.59,-0.364,0
6,3.43,2.86,2.72,-0.320,0
7,1.23,2.74,2.71,-0.416,0
8,1.72,2.76,2.95,-1.011,0
9,1.82,3.08,2.94,-1.430,0
10,1.98,2.60,2.63,-1.055,0
11,2.23,2.84,2.54,-2.460,0
12,0.61,2.67,2.68,-4.496,0
13,4.88,2.69,2.72,0.095,0
14,-1.79,2.54,2.60,0.220,0
15,1.99,2.78,2.90,-1.219,0
16,4.43,2.85,2.90,-2.355,0
17,3.00,2.77,2.92,0.006,0
18,3.44,2.66,2.73,-1.545,0
19,1.71,2.76,2.68,-0.177,0
20,5.32,2.73,2.89,0.251,0
21,4.26,2.72,2.72,0.437,0
22,2.34,2.76,2.95,1.426,0
23,2.02,2.66,2.66,0.865,0
24,6.79,2.97,2.80,-2.151,0
25,2.26,2.90,2.95,-0.727,0
26,1.51,2.90,2.71,1.835,0
27,2.16,2.84,2.80,-3.725,0
28,3.32,2.58,2.66,-0.225,0
29,3.73,2.94,2.68,1.007,0
30,3.37,2.79,2.61,-1.952,1
31,3.70,3.00,2.71,-3.187,1
32,1.41,2.98,2.60,-1.389,1
33,1.77,2.74,2.50,-1.731,1
34,2.12,2.86,2.56,-2.849,1
35,2.37,2.79,2.50,-0.680,1
36,1.07,2.72,2.54,-1.789,1
37,4.20,2.92,2.64,-4.604,1
38,1.47,2.75,2.34,1.701,1
39,0.86,2.95,2.49,-2.663,1
40,-0.83,3.02,2.65,-3.628,1
41,-1.06,2.91,2.63,-3.459,1
42,3.78,2.94,2.75,-2.171,1
43,2.31,3.06,2.53,1.389,1
44,-0.99,2.77,2.39,-0.205,1
45,1.68,2.86,2.35,-3.004,1
46,1.65,2.98,2.66,-1.489,1
47,-0.23,2.96,2.66,-3.278,1
48,2.69,2.83,2.26,0.469,1
49,0.84,3.03,2.59,-2.784,1
50,2.26,3.18,2.69,-1.331,1
51,2.81,2.82,2.55,1.174,1
52,1.60,2.92,2.65,-2.320,1
53,2.43,3.03,2.71,-3.025,1
54,0.02,3.02,2.57,-3.923,1
55,1.82,2.88,2.48,-2.670,1
56,0.99,2.80,2.71,-2.801,1
57,1.27,3.04,2.63,-1.647,1
58,1.28,2.79,2.49,-2.084,1
59,1.36,2.83,2.55,-0.725,1
60,3.29,2.89,2.77,-1.822,1
61,1.33,2.87,2.66,-0.921,1
62,-1.71,3.12,2.75,-0.017,1
63,5.71,3.06,2.57,-2.328,1
64,2.65,3.30,2.49,-2.098,1
65,2.35,3.09,2.41,-3.844,1
66,4.18,2.98,2.62,-2.278,1
67,-0.86,2.88,2.58,-1.763,1
68,-0.45,2.70,2.48,-4.619,1
69,2.30,2.96,2.61,-0.756,1
70,-0.84,2.99,2.62,-3.243,1
71,2.32,3.11,2.76,-0.390,1
72,-1.68,2.82,2.58,-1.775,1
73,1.69,2.83,2.46,-1.830,1
74,0.40,2.93,2.68,-2.001,1
75,-0.37,2.94,2.67,-3.759,1
76,1.71,2.81,2.61,-5.617,1
77,1.73,2.88,2.55,-0.353,1
78,2.87,2.99,2.56,-2.524,1
79,2.35,2.89,2.61,-0.149,1
80,0.34,3.01,2.53,-0.710,1
81,1.62,2.75,2.52,-2.508,1
82,1.47,2.89,2.58,-2.126,1
83,1.94,2.83,2.61,-5.119,1
84,-0.13,3.08,2.55,-0.694,1
85,1.67,2.75,2.69,0.390,1
86,2.24,2.90,2.41,-1.988,1
87,1.23,2.87,2.57,1.412,1
88,2.21,2.72,2.58,-1.028,1
89,1.85,2.98,2.78,-1.152,1
90,3.29,2.97,2.51,0.896,1
91,2.67,2.93,2.59,-3.607,1
92,1.27,2.92,2.57,-4.518,1
93,3.75,2.88,2.61,-1.849,1
94,2.64,2.79,2.42,-1.602,1
95,-2.04,2.93,2.62,-2.316,1
96,0.21,2.98,2.64,-1.127,1
97,4.36,3.16,2.52,-2.914,1
98,0.96,2.99,2.67,-3.471,1
99,2.32,3.00,2.46,-3.968,1
100,2.19,3.15,2.73,-2.685,1
101,2.61,3.00,2.61,-0.832,1
102,1.66,2.91,2.62,-0.857,1
103,1.09,2.93,2.56,-1.523,1
104,1.49,3.03,2.73,-1.298,1
105,4.69,2.88,2.47,-3.970,1
106,1.63,3.15,2.59,-3.627,1
107,0.45,2.88,2.59,-3.249,1
108,1.34,3.05,2.54,-5.440,1
109,0.44,2.91,2.50,-5.266,1
110,2.12,2.85,2.62,-1.538,1
111,1.08,2.92,2.57,-1.550,1
112,3.13,2.79,2.43,-0.292,1
113,2.31,2.97,2.85,-5.782,1
114,-0.72,3.05,2.65,-1.218,1
115,-1.93,3.06,2.59,-4.178,1
116,0.48,2.86,2.52,-0.835,1
117,3.05,3.22,2.50,-4.635,1
118,1.11,3.16,2.63,-0.351,1
119,-0.27,2.85,2.58,0.703,1
120,0.27,2.75,2.65,-1.786,1
121,3.52,2.99,2.67,-3.546,1
122,0.05,2.86,2.38,0.810,1
123,0.79,2.89,2.72,-1.270,1
124,-0.06,2.96,2.76,-4.014,1
125,1.16,2.86,2.60,-5.710,1
126,4.04,2.78,2.56,-1.737,1
127,4.75,2.86,2.54,-2.831,1
128,1.20,2.84,2.62,-1.216,1
129,0.71,2.94,2.59,-5.707,1
130,1.19,2.89,2.52,-1.453,1
131,4.25,3.04,2.66,-2.420,1
132,2.25,2.98,2.56,-3.199,1
133,0.45,2.89,2.59,-3.067,1
134,2.57,2.91,2.52,-2.702,1
135,-0.23,2.86,2.59,-3.783,1
136,1.75,3.04,2.63,-1.963,1
137,-0.44,3.05,2.59,-3.919,1
138,3.37,2.95,2.58,0.221,1
139,-0.85,2.93,2.36,0.444,1
140,2.29,2.83,2.58,-1.438,1
141,1.26,3.04,2.62,-2.183,1
142,2.96,2.84,2.64,-2.597,1
143,0.96,2.81,2.46,-3.988,1
144,3.91,2.94,2.45,0.269,1
145,4.34,2.96,2.68,-2.695,1
146,1.16,2.99,2.74,-2.450,1
147,1.04,2.95,2.68,-2.659,1
148,1.28,3.01,2.64,-1.467,1
149,-0.61,2.81,2.41,-1.079,1
150,1.13,3.03,2.58,-0.786,1
151,0.18,3.15,2.55,-6.622,1
152,1.28,2.99,2.71,-0.762,1
153,2.23,2.83,2.52,-2.569,1
154,3.53,2.99,2.69,-1.602,1
155,1.41,2.95,2.66,1.537,1
156,1.53,2.94,2.57,-1.723,1
157,1.29,2.86,2.50,-4.364,1
158,-0.06,2.70,2.57,-4.208,1
159,1.81,2.99,2.57,-1.686,1
160,1.86,2.96,2.56,-2.618,1
161,-0.10,3.11,2.65,-3.384,1
162,3.36,2.93,2.79,0.254,1
163,3.48,2.74,2.51,-0.772,1
164,1.01,2.84,2.76,-3.063,1
165,-1.41,2.96,2.65,-1.644,1
166,4.00,2.78,2.59,-1.476,1
167,1.35,3.02,2.37,-2.241,1
168,2.61,3.01,2.78,0.247,1
169,2.38,2.77,2.60,-2.384,1
170,1.95,2.95,2.72,-4.204,1
171,2.90,2.83,2.51,-4.697,1
172,5.42,2.74,2.56,-5.208,1
173,-0.08,3.04,2.42,-3.378,1
